1	12	İdârî Birimin Yeni Harflerle Adı	Eski Harflerle Adı	Unvani 1 raw	Unvan 1	Unvan 1 year	Unvan 1 note	Bagli raw	Bagli 1 1	Bagli 1 2	Bagli 1 3	Bagli 1 4	Unvani 2 raw	Unvan 2	Unvan 2 year	Unvan 2 note	Bagli 2 raw	Bagli 2 1	Bagli 2 2	Bagli 2 3	Bagli 2 4	Unvani 3 raw	Unvan 3	Unvan 3 year	Unvan 3 note	Bagli 3 raw	Bagli 3 1	Bagli 3 2	Bagli 3 3	Bagli 3 4	Unvani 4 raw	Unvan 4	Unvan 4 year	Unvan 4 note	Bagli 4 raw	Bagli 4 1	Bagli 4 2	Bagli 4 3	Bagli 4 4	Unvani 5 raw	Unvan 5	Unvan 5 year	Unvan 5 note	Bagli 5 raw	Bagli 5 1	Bagli 5 2	Bagli 5 3	Bagli 5 4	Unvani 6 raw	Unvan 6	Unvan 6 year	Unvan 6 note	Bagli 6 raw	Bagli 6 1	Bagli 6 2	Bagli 6 3	Bagli 6 4	Unvani 7	Bagli 7	Unvani 8	Bagli 8	Unvani 9	Bagli 9	Unvani 10	Bagli 10	Unvani 11	Bagli 11	Unvani 12	Bagli 12	Unvani 13	Bagli 13	Unvani 14	Bagli 14
4041	4041	LÜBNAN (Cebelilübnan)	لبنان	Sancak (1861)	Sancak	1861		Müstakil sancak				Müstakil sancak																																																													
4042	4042	LÜLEBURGAZ (Lülebergos) (Çatalburgazı)	لوله برغوس	Kaza (1891)	Kaza	1891		Kırkkilise>Edirne vilâyeti			Kırkkilise	Edirne vilâyeti	Kaza (1924)	Kaza	1924		Kırklareli				Kırklareli																																																				
4043	4043	Maadin (KEBAN)	معادن	Sancak (16.yy.)	Sancak	16. yy.		Harput eyâleti				Harput eyâleti	Eyâlet (~1755)	Eyâlet	~1755		Keban eyâleti				Keban eyâleti	Sancak (1834)	Sancak	1834	Keban eyâletinin asıl Ünvanı “Keban Madeni Nezareti”dir. Eyâlet merkezinin buraya nakline de sebep bu olmalıdır.	Harput eyâleti				Harput eyâleti																																											
4044	4044	MAADİN-İ ERBAA	معادن اربعه	Kaza (1846)	Kaza	1846		K. Hisar-ı Şarkî>Trabzon eyâleti			Karahisar-ı Şarkî	Trabzon eyâleti																																																													
4045	4045	MA‘AN (Kerek)	معان	Nahiye (1517)	Nahiye	1517		Şam>Arap vilâyeti			Şam	Arap vilâyeti	Sancak (1893)	Sancak	1893		Suriye vilâyeti				Suriye vilâyeti																																																				
4046	4046	MAARRETÜ MISREYN	معارة مصرين	Nahiye (1865)	Nahiye	1865		İdlib>Halep>Halep vilâyeti		İdlib	Halep	Halep vilâyeti																																																													
4047	4047	MAARRETÜNNUMAN (Maarre)	معارة النعمان	Nahiye(1517)	Nahiye	1517		Hama>Humus>Arap vilâyeti		Hama	Humus	Arap vilâyeti	Kaza (1520)	Kaza	1520		Hama>Şam eyâleti			Hama	Şam eyâleti	Sancak (1830)	Sancak	1830		Halep eyâleti				Halep eyâleti	Kaza (~ 1865)	Kaza	~1865		Halep vilâyeti				Halep vilâyeti																																		
4048	4048	Maarre (MAARRETÜŞŞUÛR)	معارة	Nahiye (1902)	Nahiye	1902		Selimiye>Hama>Suriye vilâyeti		Selimiye	Hama	Suriye vilâyeti																																																													
4049	4049	MAASİR maa KÜVEYT	معاسر مع کويت	Kaza (1849)	Kaza	1849		Basra>Bağdad maa Şehrizor eyâleti			Basra	Bağdad maa Şehrizor eyâleti																																																													
4050	4050	MACAR	مجار	Nahiye Mrk.	Nahiye merkezi			Gebiz>Serik>Antalya		Gebiz	Serik	Antalya																																																													
4051	4051	MACUN	معجون	Nahiye Mrk.	Nahiye merkezi			Aksu>Merkez>Antalya		Aksu	Merkez	Antalya																																																													
4052	4052	Maçahel (CAMİLİ)	ماچه خل	Sancak (16. yy.)	Sancak	16. yy.		Çıldır eyâleti				Çıldır eyâleti	Kaza (1828)	Kaza	1828		Lazistan>Trabzon eyâleti			Lazistan	Trabzon eyâleti	Kaza (1878-1918)	Kaza	1878-1918		Rusya yönetimi				Rusya yönetimi	Nahiye (1921)	Nahiye	1921		Merkez>Artvin			Merkez	Artvin	Nahiye (1928)	Nahiye	1928		Borçka>Artvin			Borçka	Artvin																									
4053	4053	MAÇİN (Matchin) (Macin) (Dobruca bölgesinde.)	ما چين	Kaza (~1812)	Kaza	~1812		Silistre eyâleti				Silistre eyâleti	Kasaba (1865)	Kasaba	1865		Tuna vilâyeti				Tuna vilâyeti																																																				
4054	4054	MAÇKA (Cevizlik)	ماچقه	Nahiye (~1530)	Nahiye	~1530		Merkez>Trabzon>Rum eyâleti		Merkez	Trabzon	Rum eyâleti	Sancak (17. yy.)	Sancak	17. yy.		Trabzon eyâleti				Trabzon eyâleti	Kaza	Kaza			Trabzon>Trabzon eyâleti			Trabzon	Trabzon eyâleti	Kaza (1868)	Kaza	1868		Trabzon>Trabzon vilâyeti			Trabzon	Trabzon vilâyeti	Kaza (1924)	Kaza	1924		Trabzon				Trabzon																									
4055	4055	MAÇOVA (Miçova)	ميچوه	Kaza (1846)	Kaza	1846		Yanya>Yanya eyâleti			Yanya	Yanya eyâleti																																																													
4056	4056	MADEN (Erganimadeni)	معدن	Sancak (1889)	Sancak	1889		Erganimadeni>Diyarbakır eyâleti			Erganimadeni	Diyarbakır eyâleti	Vilâyet (1924)	Vilâyet	1924		Erganimadeni				Erganimadeni	Kaza (1927)	Kaza	1927		Elâzığ				Elâzığ																																											
4057	4057	Maden (Hamidiye) (Bereketlimaden) (ÇAMARDI)	معدن	Kaza (18.yy.)	Kaza	18. yy.		Niğde>Karaman eyâleti			Niğde	Karaman eyâleti	Kaza (1865)	Kaza	1865		Niğde>Konya vilâyeti			Niğde	Konya vilâyeti	Nahiye (1924)	Nahiye	1924		Merkez>Niğde			Merkez	Niğde	Kaza (1948)	Kaza	1948		Niğde				Niğde																																		
4058	4058	Maden (AKDAĞMADENİ)	معدن	Kaza (1872)	Kaza	1872		Yozgat>Ankara vilâyeti			Yozgat	Ankara vilâyeti	Kaza (1924)	Kaza	1924		Yozgat				Yozgat																																																				
4059	4059	MADEN	معدن	Nahiye (16.yy.)	Nahiye	16. yy.		Tire>Aydın>Anadolu eyâleti		Tire	Aydın	Anadolu eyâleti																																																													
4060	4060	MADEN	معدن	Nahiye Mrk.	Nahiye merkezi			Everek>Bayburt>Gümüşhane		Everek	Bayburt	Gümüşhane	Nahiye (1927)	Nahiye	1927		Bayburt>Gümüşhane			Bayburt	Gümüşhane	Nahiye (1989)	Nahiye	1989		Merkez>Bayburt			Merkez	Bayburt																																											
4061	4061	MADEN-İ SİM (Gümüş)	معدن سيم	Kaza (1883’te kaza merkezi şimdiki “Gümüş” bucağından Hacıköy’e nakledildi. Gümüşhacıköy adını aldı.)	Kaza		1883’te kaza merkezi şimdiki “Gümüş” bucağından Hacıköy’e nakledildi. Gümüşhacıköy adını aldı.	Amasya>Sivas vilâyeti			Amasya	Sivas vilâyeti																																																													
4062	4062	MADENŞEHRİ	معدن شهری	Kaza (17.yy.)	Kaza	17. yy.		Lârende>Karaman eyâleti			Lârende	Karaman eyâleti	Köy	Köy			Kılbasan>Karaman			Kılbasan	Karaman																																																				
4063	4063	MADÎK	مضيق	Nahiye (Bazı kaynaklarda diğer adının “Kal‘atü’l-Madîk” olduğu ve 1600’lerde Halep’e bağlı sancak olduğu belirtilmiş.)	Nahiye		Bazı kaynaklarda diğer adının “Kal‘atü’l-Madîk” olduğu ve 1600’lerde Halep’e bağlı sancak olduğu belirtilmiş.	Halep>Halep eyâleti			Halep	Halep eyâleti																																																													
4064	4064	Madrak (GEÇİTKÖY)	مادراک	Nahiye (1865)	Nahiye	1865		Merkez>Hınıs>Erzurum vilâyeti		Merkez	Hınıs	Erzurum vilâyeti	Köy (1926)	Köy	1926		Merkez>Tekman>Erzurum		Merkez	Tekman	Erzurum																																																				
4065	4065	MAGOSA (Famagosta)	ماغوسه	Sancak (1571)	Sancak	1571		Kıbrıs eyâleti				Kıbrıs eyâleti	Şehir	Şehir			Kıbrıs				Kıbrıs																																																				
4066	4066	MAĞADİR	مغادر	Kasaba	Kasaba			Fas				Fas																																																													
4067	4067	Mağara (TUFANBEYLİ) (Höketçe)	مغاره	Nahiye (16.yy.)	Nahiye	16. yy.		Maraş>Maraş>Zülkadriye eyâleti		Maraş	Maraş	Zülkadriye eyâleti	Nahiye (1869)	Nahiye	1869		Haçin>Kozan>Adana vilâyeti		Haçin	Kozan	Adana vilâyeti	Nahiye (1926)	Nahiye	1926		Saimbeyli>Adana			Saimbeyli	Adana	Kaza (1958)	Kaza	1958		Adana				Adana																																		
4068	4068	MAĞARA	مغاره	Nahiye Mrk. (1933)	Nahiye merkezi	1933		Kırobası>Silifke>İçel		Kırobası	Silifke	İçel																																																													
4069	4069	MAĞARA (Atina’nın 32 km. batısında ve ünlü matematikçi Oklid’in doğum yeridir.)	مغاره	Kaza	Kaza			Atika>Biyotiye eyâleti>Yunanistan		Atika	Biyotiye eyâleti	Yunanistan																																																													
4070	4070	MAĞLAY	ماغلای	Kaza (~1580)	Kaza	~1580		İzvornik>Bosna eyâleti			İzvornik	Bosna eyâleti																																																													
4071	4071	MAĞRİB-İ AKSA (Marok)	مغرب اقصی	Ülke	Ülke			Fas				Fas																																																													
4072	4072	MAĞRİB-İ EVSAT (Cezayir)	مغرب اَوسط	Ülke	Ülke			Cezayir				Cezayir																																																													
4073	4073	MAHADİR	مخادر	Nahiye (1873)	Nahiye	1873		İbb>Taizz>Yemen vilâyeti		İbb	Taizz	Yemen vilâyeti																																																													
4074	4074	MAHALİB	محالب	Kasaba	Kasaba			Yemen				Yemen																																																													
4075	4075	MAHALİBE	مهالبه	Kaza (1847)	Kaza	1847		Lazkiye>Sayda eyâleti			Lazkiye	Sayda eyâleti	Nahiye (1888)	Nahiye	1888		Sahyun>Lazkiye>Beyrut vilâyeti		Sahyun	Lazkiye	Beyrut vilâyeti																																																				
4076	4076	MAHALL-İ DEHLÜ (“Mahal”: İranlıların nahiyelere verdikleri ad.)	محل دهلو	Kaza (1855)	Kaza	1855		Süleymaniye>Bağdad maa Şehrizor eyâleti			Süleymaniye	Bağdad maa Şehrizor eyâleti																																																													
4077	4077	MAHALL-İ ZEND ve ZENGİNE	محل زند وَ زنکنه	Kaza (1855)	Kaza	1855		Süleymaniye>Bağdad maa Şehrizor eyâleti			Süleymaniye	Bağdad maa Şehrizor eyâleti																																																													
4078	4078	MAHAVİL	محاويل	Kaza (1851)	Kaza	1851		Divaniye>Bağdad maa Şehrizor eyâleti			Divaniye	Bağdad maa Şehrizor eyâleti	Nahiye (1855)	Nahiye	1855		Hille>Divaniye>Bağdad vilâyeti		Hille	Divaniye	Bağdad vilâyeti																																																				
4079	4079	MAHCE	محجه	Nahiye (1865)	Nahiye	1865		Havran>Suriye vilâyeti			Havran	Suriye vilâyeti																																																													
4080	4080	MAHİRCE	محيرجه	Nahiye (1884)	Nahiye	1884		Hayy>Müntefik>Basra vilâyeti		Hayy	Müntefik	Basra vilâyeti																																																													
4081	4081	MAHMUTBEY	محمود بک	Nahiye (1924)	Nahiye	1924		Bakırköy>İstanbul			Bakırköy	İstanbul																																																													
4082	4082	MAHMUDÎ (Saray)	محمودی	Kaza (1845)	Kaza	1845		Van-Hakkâri>Erzurum eyâleti			Van-Hakkâri	Erzurum eyâleti	Kaza (1855)	Kaza	1855		Van>Van eyâleti			Van	Van eyâleti	Kaza (Cumhuriyetten sonra lağvedilerek yerine “Saray” kaza yapıldı. 1948’de kaza “Özalp” adını aldı ve Kargalı k.yüne taşındı. Saray nahiye olarak Özalp’a bağlı.)	Kaza		Cumhuriyetten sonra lağvedilerek yerine “Saray” kaza yapıldı. 1948’de kaza “Özalp” adını aldı ve Kargalı k.yüne taşındı. Saray nahiye olarak Özalp’a bağlı.	Van>Van vilâyeti			Van	Van vilâyeti																																											
4083	4083	MAHMUDİYE	محموديه	Köy	Köy			Çifteler>Merkez>Eskişehir		Çifteler	Merkez	Eskişehir	Kaza (1954)	Kaza	1954		Eskişehir				Eskişehir																																																				
4084	4084	MAHMUDİYE	محموديه	Kaza	Kaza			Bahriye>Mısır			Bahriye	Mısır																																																													
4085	4085	MAHMUDİYE	محموديه	Kaza (18. yy.)	Kaza	18. yy.		Bağdad>Bağdad maa Şehrizor eyâleti			Bağdad	Bağdad maa Şehrizor eyâleti																																																													
4086	4086	MAHMUTLAR	محمودلر	Nahiye (16. yy.)	Nahiye	16. yy.		Merkez>Alâiye>Anadolu eyâleti		Merkez	Alâiye	Anadolu eyâleti	Kabasa	Kasaba			Merkez>Alanya>Antalya		Merkez	Alanya	Antalya																																																				
4087	4087	MAHMUTLAR(Turgut-Yunak bölgesinde cemaat adı.)	محمودلر	Kaza (16. yy.)	Kaza	16. yy.		Konya>Karaman eyâleti			Konya	Karaman eyâleti																																																													
4088	4088	MAHMUTLU	محمودلی	Nahiye (1865)	Nahiye	1865		Ortaköy>Edirne>Edirne vilâyeti		Ortaköy	Edirne	Edirne vilâyeti	Nahiye (1913)	Nahiye	1913		Ortaköy>Bulgaristan			Ortaköy	Bulgaristan																																																				
4089	4089	MAHMUT ŞEVKETPAŞA (Ömerli)	محمود شوکت پاشا	Nahiye (1924)	Nahiye	1924		Üsküdar>İstanbul			Üsküdar	İstanbul	Nahiye (1926)	Nahiye	1926		Beykoz>İstanbul			Beykoz	İstanbul																																																				
4090	4090	MAHREKE	محرکه	Nahiye (18. yy.)	Nahiye	18. yy.		Nusaybin>Mardin>Diyarbakır eyâleti		Nusaybin	Mardin	Diyarbakır eyâleti																																																													
4091	4091	MAHVİT	محويت	Nahiye (1871)	Nahiye	1871		Gökben>Sana>Yemen vilâyeti		Gökben	Sana	Yemen vilâyeti																																																													
4092	4092	MAKALLE	مقله	Kasaba	Kasaba			Hadramut				Hadramut																																																													
4093	4093	MAKATIRA	مقاطره	Nahiye (1871)	Nahiye	1871		Hicriye>Taizz>Yemen vilâyeti		Hicriye	Taizz	Yemen vilâyeti																																																													
4094	4094	MAKBENE	مقبنه	Nahiye (1873)	Nahiye	1873		Merkez>Taizz>Yemen vilâyeti		Merkez	Taizz	Yemen vilâyeti																																																													
4095	4095	MAKLÛB	مقلوب	Nahiye (1879)	Nahiye	1879		Merkez>Musul>Musul vilâyeti		Merkez	Musul	Musul vilâyeti																																																													
4096	4096	MAKO	ماقو	Sancak Mrk.	Sancak merkezi			Ksanad>Macaristan			Ksanad	Macaristan																																																													
4097	4097	MAKRANİÇE	مقره نيچه	Kaza (1846)	Kaza	1846		Tırhala>Selânik eyâleti			Tırhala	Selânik eyâleti																																																													
4098	4098	Makriköy (BAKIRKÖY)	مقری کوی	Kaza	Kaza			İstanbul				İstanbul																																																													
4099	4099	MAKSUTLU	مقصودلی	Nahiye (1865)	Nahiye	1865		Tonus>Sivas>Sivas vilâyeti		Tonus	Sivas	Sivas vilâyeti	Köy	Köy			Merkez>Şarkışla>Sivas		Merkez	Şarkışla	Sivas																																																				
4100	4100	MAKSUTLU	مقصودلی	Nahiye (1865)	Nahiye	1865		Uzunk.prü>Edirne vilâyeti			Uzunköprü	Edirne vilâyeti	Köy	Köy			Hamidiye>Uzunk.prü>Edirne		Hamidiye	Uzunköprü	Edirne																																																				
4101	4101	Malabâdi (ÇATAKKÖPRÜ)	مالابادی	Nahiye (1924)	Nahiye	1924		Silvan>Diyarbakır			Silvan	Diyarbakır																																																													
4102	4102	MALAKOF	مالاقوف	Kale (Sivastopol kalelerinin en metinidir. Kırım savaşı sırasında bu kalenin alınması Rusların Sivastopul’u tahliyeye mecbur etmişti.)	Kale		Sivastopol kalelerinin en metinidir. Kırım savaşı sırasında bu kalenin alınması Rusların Sivastopul’u tahliyeye mecbur etmişti.	Sivastopol>Kırım			Sivastopol	Kırım																																																													
4103	4103	MALAKSA (Malkasa)	ملقسه	Kaza (1867)	Kaza	1867		Berat>Yanya vilâyeti			Berat	Yanya vilâyeti																																																													
4104	4104	MALATYA	ملاطيه	Sancak (1517)	Sancak	1517		Arap vilâyeti				Arap vilâyeti	Sancak (1522)	Sancak	1522		Zülkadriye eyâleti				Zülkadriye eyâleti	Sancak (1535)	Sancak	1535		Rum eyâleti				Rum eyâleti																																											
4105	4105	MALATYA maa HARPUT	ملاطيه مع خرپوت	Sancak (1846)	Sancak	1846		Harput eyâleti				Harput eyâleti																																																													
4106	4106	MALATYA	ملاطيه	Sancak (1870)	Sancak	1870		Diyarbakır vilâyeti				Diyarbakır vilâyeti	Sancak (1884)	Sancak	1884		Mamûretülaziz vilâyeti				Mamûretülaziz vilâyeti	Vilâyet (1924)	Vilâyet	1924		Malatya				Malatya																																											
4107	4107	MALAZGİRT	ملازکرد	Sancak (1534)	Sancak	1534		Erzurum eyâleti				Erzurum eyâleti	Kaza (1830)	Kaza	1830		Muş>Erzurum eyâleti			Muş	Erzurum eyâleti	Kaza (1880)	Kaza	1880		Muş>Bitlis vilâyeti			Muş	Bitlis vilâyeti	Kaza (1924)	Kaza	1924		Muş				Muş	Kaza (1926)	Kaza	1926		Bitlis				Bitlis	Kaza (1929)	Kaza	1929		Muş				Muş																
4108	4108	MA‘LEKA	معلقه	Kaza Mrk.	Kaza merkezi			Bikaul-aziz>Şam>Suriye vilâyeti		Bikaul-aziz	Şam	Suriye vilâyeti																																																													
4109	4109	MALİSİYAS (Leş Malisiyas)	ماليسياس	Nahiye (1875)	Nahiye	1875		Leş>İşkodra>İşkodra vilâyeti		Leş	İşkodra	İşkodra vilâyeti																																																													
4110	4110	MALİŞ (Osmaniye) (Bihcova)	مالش	Kaza (1877)	Kaza	1877		Üsküb>Kosova vilâyeti			Üsküb	Kosova vilâyeti																																																													
4111	4111	MALKARA	معلقره	Kaza (16.yy.)	Kaza	16. yy.		Gelibolu>Rumeli eyâleti			Gelibolu	Rumeli eyâleti	Kaza (1846)	Kaza	1846		Gelibolu>Edirne eyâleti			Gelibolu	Edirne eyâleti	Kaza (1865)	Kaza	1865		Tekfurdağı>Edirne vilâyeti			Tekfurdağı	Edirne vilâyeti	Kaza (1924)	Kaza	1924		Tekirdağ				Tekirdağ																																		
4112	4112	MALKASRA	مالقصره	Nahiye (1867)	Nahiye	1867		Merkez>Berat>Yanya vilâyeti		Merkez	Berat	Yanya vilâyeti																																																													
4113	4113	MALTEPE	مالتپه	Kaza (~ 1990)	Kaza	~1990		İstanbul				İstanbul																																																													
4114	4114	MALVİZ (Çatalköy)	مالويز	Kaza (1913)	Kaza	1913		Kandiye>Girit>Yunanistan		Kandiye	Girit	Yunanistan																																																													
4115	4115	MALYA	ماليا	Nahiye (Tomarza’nın kuzey kısmında idi.)	Nahiye		Tomarza’nın kuzey kısmında idi.	Merkez>Kayseri>Karaman eyâleti		Merkez	Kayseri	Karaman eyâleti																																																													
4116	4116	MALYA	ماليا	Nahiye (Mucur ve Hacıbektaş ilçeleri arasında idi.)	Nahiye		Mucur ve Hacıbektaş ilçeleri arasında idi.	Kırşehir>Bozok>Zülkadriye eyâleti		Kırşehir	Bozok	Zülkadriye eyâleti																																																													
4117	4117	MAMAHATUN	ماماخاتون	Köy	Köy			Tercan-ı Ulyâ>Tercan>Bayburt>Rum eyâleti	Tercan-ı Ulyâ	Tercan	Bayburt	Rum eyâleti	Kaza Mrk. (1865)	Kaza merkezi	1865		Tercan>Erzurum>Erzurum vilâyeti		Tercan	Erzurum	Erzurum vilâyeti	Kaza Mrk. (1936)	Kaza merkezi	1936		Tercan>Erzincan			Tercan	Erzincan																																											
4118	4118	MAMAK	ماماق	Kaza	Kaza			Ankara				Ankara																																																													
4119	4119	Mamuğa (SİVRİTEPE)	ماموغه	Nahiye (1865)	Nahiye	1865		Hafik>Sivas>Sivas vilâyeti		Hafik	Sivas	Sivas vilâyeti	Köy	Köy			Merkez>Merkez>Sivas		Merkez	Merkez	Sivas																																																				
4120	4120	Mamûre (SİVAS)	معموره	Vilâyet (1865)	Vilâyet	1865	Danişmendliler Sivas’a “Mamure” demiştir.	Sivas				Sivas																																																													
4121	4121	Mamûre (AYDINCIK)	معموره	Nahiye	Nahiye			Çekerek>Yozgat			Çekerek	Yozgat																																																													
4122	4122	Mamûre (Misis) (YAKAPINAR) (H. 140 yılında yeniden imar g.rünce bu adı almıştır.)	معموره	Nahiye (1869)	Nahiye	1869		Merkez>Adana>Adana vilâyeti		Merkez	Adana	Adana vilâyeti	Nahiye (1924)	Nahiye	1924		Merkez>Adana			Merkez	Adana																																																				
4123	4123	MAMÛRE	معموره	Nahiye	Nahiye			Merkez>Kale-i Sultaniye			Merkez	Kale-i Sultaniye	Köy	Köy			G.lcük>Bayramiç>Çanakkale		Gölcük	Bayramiç	Çanakkale																																																				
4124	4124	MAMÛRETÜLAZİZ (Elaziz, Elazık) (ELÂZIĞ) (Mezraa)	معمورة العزيز	Sancak (1867)	Sancak	1867		Diyarbakır vilâyeti				Diyarbakır vilâyeti	Müs.Sancak (1871)	Müstakil sancak	1871		M.m.retülaziz sancağı				Mamûretülaziz sancağı	Vilâyet (1877)	Vilâyet	1877		Mamûretülaziz vilâyeti				Mamûretülaziz vilâyeti	Vilâyet (1924)	Vilâyet	1924	Harput eyâlet merkezi 1834’te bugünkü Elâzığ’a ‘Mezraa’ya) taşındı. Cumhuriyetten sonra Elaziz, 1937’de Elazık ve yine aynı yıl Elâzığ denildi.	Elâzığ				Elâzığ																																		
4125	4125	Mam.retülhamid (GÜZELSU)	معمورة الحميد	Kaza (1888)	Kaza	1888		Hakkâri>Van vilâyeti			Hakkâri	Van vilâyeti	Nahiye (1935)	Nahiye	1935		Gürpınar>Van			Gürpınar	Van																																																				
4126	4126	MAMÛRETÜLHAMİD (El-Lis)	معمورة الحميد	Kaza (1875)	Kaza	1875		Cidde>Hicaz vilâyeti			Cidde	Hicaz vilâyeti																																																													
4127	4127	MAMÛRETÜLHAMİD	معمورة الحميد	Kaza (1879)	Kaza	1879		Süleymaniye>Musul vilâyeti			Süleymaniye	Musul vilâyeti																																																													
4128	4128	Mamûriye (ANAMUR) (Çorak)	معموريه	Kaza (1483)	Kaza	1483		İçil>Karaman eyâleti			İçil	Karaman eyâleti	Kaza (1870)	Kaza	1870		İçil>Adana vilâyeti			İçil	Adana vilâyeti	Kaza (1924)	Kaza	1924		İçil				İçil	Kaza (1933)	Kaza	1933	İçil: merkezi Ermenek ve sonra Silifke olan bir sancak teşkilâtıdır. Bugünkü İçel iliyle karıştırılmamalıdır.	İçel				İçel																																		
4129	4129	MANAĞRI	مناغری	Nahiye (~1530) (Köyleri halen Çarşamba ilçesi Ayvacık bucağına bağlıdır.)	Nahiye	~1530	Köyleri halen Çarşamba ilçesi Ayvacık bucağına bağlıdır.)	Arım>Canik>Rum eyâleti		Arım	Canik	Rum eyâleti																																																													
4130	4130	Manahos (ÇİÇEKDAĞ)	مناحوس	Nahiye (16.yy.)	Nahiye	16. yy.		Kırşehir>Bozok>Zülkadriye eyâleti		Kırşehir	Bozok	Zülkadriye eyâleti																																																													
4131	4131	MANASTIR (Bitola)	مناستر	Sancak (15. yy.)	Sancak	15. yy.		Rumeli eyâleti				Rumeli eyâleti	Sancak	Sancak			Kaptanpaşa eyâleti				Kaptanpaşa eyâleti	Eyâlet Mrk. (1836)	Eyâlet merkezi	1836		Rumeli eyâleti				Rumeli eyâleti	Sancak (1867)	Sancak	1867		Selânik vilâyeti				Selânik vilâyeti	Vilâyet (1874)	Vilâyet	1874		Manastır vilâyeti				Manastır vilâyeti	Vilâyet (1913)	Vilâyet	1913		Sırbistan				Sırbistan	Vilâyet (1913)	Makedonya														
4132	4132	MANASTIRBÜKÜ	مناستر بوکی	Kaza Mrk. (~1990)	Kaza merkezi	~1990		Doğankent>Giresun			Doğankent	Giresun																																																													
4133	4133	MANAVGAT (Pazarcı)	منوغات	Kaza (~1530)	Kaza	~1530		Alâiye>Anadolu eyâleti			Alâiye	Anadolu eyâleti	Kaza (1846)	Kaza	1846		Alâiye>Karaman eyâleti			Alâiye	Karaman eyâleti	Kaza (1865)	Kaza	1865		Teke>Konya vilâyeti			Teke	Konya vilâyeti	Kaza (1924)	Kaza	1924		Antalya				Antalya																																		
4134	4134	MANDA	مانده	Köy	Köy			Merkez>Midilli>C.Bahrisefid		Merkez	Midilli	Cezayir-i Bahr-i Sefid	Kaza	Kaza			Merkez>Midilli>Yunanistan		Merkez	Midilli	Yunanistan																																																				
4135	4135	MANDALYAT (Milâs’ın Selimiye nahiyesi olabilir. 1928 Salnamesinde Selimiye’nin diğer adı “Kızılcamandalyat”tır.)	مانداليات	Nahiye (~1530)	Nahiye	~1530		Peçin>Menteşe>Anadolu eyâleti		Peçin	Menteşe	Anadolu eyâleti	Nahiye (~1826)	Nahiye	~1826		Menteşe>Aydın eyâleti			Menteşe	Aydın eyâleti																																																				
4136	4136	MANDARİÇE	ماندريچه	Nahiye (1865)	Nahiye	1865		Ortaköy>Edirne>Edirne vilâyeti		Ortaköy	Edirne	Edirne vilâyeti	Nahiye (1913)	Nahiye	1913		Ortaköy>Bulgaristan			Ortaköy	Bulgaristan																																																				
4137	4137	Mandıra (BÜYÜKMANDIRA)	مانديره	Nahiye (1865)	Nahiye	1865		Babaeski>Kırkkilise>Edirne vilâyeti		Babaeski	Kırkkilise	Edirne vilâyeti	Kasaba	Kasaba			Merkez>Babaeski>Kırklareli		Merkez	Babaeski	Kırklareli																																																				
4138	4138	MANDİÇE	مانديچه	Kaza (~1811)	Kaza	~1811		Sığla>Aydın eyâleti			Sığla	Aydın eyâleti																																																													
4139	4139	MANGUT	مانقت	Sancak (1435)	Sancak	1435		Kırım eyâleti				Kırım eyâleti																																																													
4140	4140	MANİSA (Saruhan)	مغنيسا	Sancak (~1530)	Sancak	~1530		Anadolu eyâleti				Anadolu eyâleti	Sancak(~1573)	Sancak	~1573		Cezayir-i Bahr-i Sefid eyâleti				Cezayir-i Bahr-i Sefid eyâleti	Sancak (1811)	Sancak	1811		Aydın eyâleti				Aydın eyâleti	Vilâyet (1924)	Vilâyet	1924		Manisa				Manisa																																		
4141	4141	MANKALYA (Mangalia)	منقاليا	Kaza (1864)	Kaza	1864		Varna>Tuna vilâyeti			Varna	Tuna vilâyeti	Kaza (~1913)	Kaza	~1913		Romanya				Romanya																																																				
4142	4142	MANOFAÇ maa RİZO	منوفاچ مع ريزو	Kaza (1846)	Kaza	1846		Kandiye>Girit vilâyeti			Kandiye	Girit vilâyeti	Kaza (1913)	Kaza	1913		Kandiye>Yunanistan			Kandiye	Yunanistan																																																				
4143	4143	Mans (ÇAYIRLI)	مانص	Nahiye (1865)	Nahiye	1865		Tercan>Erzurum>Erzurum vilâyeti		Tercan	Erzurum	Erzurum vilâyeti	Nahiye (1924)	Nahiye	1924		Tercan>Erzurum			Tercan	Erzurum	Nahiye (1936)	Nahiye	1936		Tercan>Erzincan			Tercan	Erzincan	Kaza (1954)	Kaza	1954		Erzincan				Erzincan																																		
4144	4144	MANSURA	منصوره	Müdiriyet Mrk.	Müdiriyet merkezi			Dakhilye>Mısır			Dakhilye	Mısır																																																													
4145	4145	Mansuran (YAYGINKONAK)	منصوران	Nahiye (1867)	Nahiye	1867		Çermik>Erganimadeni>Diyarbakır vilâyeti		Çermik	Erganimadeni	Diyarbakır vilâyeti	Köy	Köy			Çüngüş>Merkez>Elâzığ		Çüngüş	Merkez	Elâzığ	Köy	Köy			Merkez>.üngüş>Diyarbakır		Merkez	Çüngüş	Diyarbakır																																											
4146	4146	MANSURİYE	منصوريه	Kaza (1852)	Kaza	1852		Horasan>Bağdad maa Şehrizor eyâleti			Horasan	Bağdad maa Şehrizor eyâleti																																																													
4147	4147	MANSURLU	منصورلی	Nahiye	Nahiye			Feke>Adana			Feke	Adana	Kaza (~1990)	Kaza	~1990		Adana				Adana																																																				
