ABADAN ,عبادان,Şehir#Şehir#Basra#İran (1847) (Erzurum Antlaşmasıyla İran’a verildi.)#
HAVLAN ,خولان ,Kasaba Yemen#
HAVLE ,حوله ,Nahiye (1517)#Nahiye (1865)#ŞamArap vilâyeti#SurSurSuriye vilâyeti#
HAVLE ve ŞİAR ,حوله و شعار ,Kaza (17.yy.) Şam eyâleti#
HAVLİNE ,حولنه ,Nahiye (1888) MerciuyûnBeyrutBeyrut vilâyeti#
HAVRAN (Merkezi önce “Şeyh Said” sonra “Der‘a”dır.) ,حوران ,Nahiye (1517)#Sancak (1852)#Sancak (1865)#ŞamArap vilâyeti#Halep eyâleti#Şam eyâleti#
HAVRAN ,حوران ,Köy#Nahiye (1926)#Kaza (1959)#MerkezEdremitBalıkesir#EdremitBalıkesir#Balıkesir#
HAVSA (Havass-ı Mahmutpaşa) (Havass-ı refia) ,خوصه ,Kaza (1865)#Nahiye (1926)#Kaza (1924)#EdirneEdirne vilâyeti#MerkezEdirne#Edirne#
HAVUZ ,حويض ,Nahiye (1865)#Köy#MerkezSivasSivas vilâyeti#KuşkayasıKangalSivas#
HAVZ ,حوض ,Nahiye Kasr-ı YifrinCebelülgarbTrablusgarbLibya#
HAVZA ,خوضه ,Nahiye Mrk. (1530)#Kaza (1847)#Kaza (1865)#Kaza (1926)#Simre-i LâdikAmasyaRum eyâleti#Amasya-ÇorumSivas eyâleti#AmasyaSivas vilâyeti#Samsun#
HAYAL ,حيال ,Nahiye MerkezSincarDiyarbakır eyâleti#
Hayatî (DOĞANYURT) ,حياتی ,Nahiye (1865)#Nahiye (1924)#ErbaaTokatSivas vilâyeti#ErbaaTokat#
HAYBER ,خيبر ,Kasaba (nahiye) MerkezMedineHicaz,#,,
HAYDARAN (Ruşnik) ,حيدران ,Nahiye (Lağvedilmiş.) NazımiyeErzincan#
Haydarî (DEREBOĞAZ) ,حيدری ,Nahiye (1865)#Köy#OvaErzurumErzurum vilâyeti#IlıcaMerkezErzurum#
HAYDARLAR ,حيدرلر ,Nahiye (Havran’ın#Büyükdere ve Kü.ükdere#köylerinin doğusunda idi.)#EdremitKaresiAnadolu eyâleti#
HAYDARLI ,حيدرلی ,Nahiye DinarAfyon#
HAYFA ,حيفا ,Kaza (1660)#Kaza (1865)#Kaza#AkkaSayda eyâleti#AkkaSuriye vilâyeti#Akkaİsrail#
Haylan (BÜYÜKÇALTI) ,خيلان ,Nahiye (1889)#Köy#PaluErganimadeniDiyarbakır#GökderePaluElâzığ#
HAYMANA (Haymaneteyn) (Yabanhamamı) ,حايمانه ,Nahiye (1530)#Kaza (1841)#Kaza (1849)#Kaza (1924)#MerkezAnkaraAnadolu eyâleti#AnkaraAnkara eyâleti#AnkaraBozok eyâleti#Ankara#
HAYRABOLU ,خيره بولی ,Kaza#Kaza (1924)#TekfurdağıEdirne#Tekirdağ#
HAYRANLI ,حيرانلی ,Nahiye (1865)#Köy#MerkezSivasSivas vilâyeti#MerkezMerkezSivas#
HAYRAT (Güneşalan) ,خيرات ,Nahiye#Kaza (1990)#OfTrabzon#Trabzon#
HAYS (Hais) ,حيس ,Nahiye (1871) ZebidHudeydeYemen vilâyeti#
HAYVAN (Sana-Mekke yolu üzerinde ve Beni Dahak yurdu.) ,خيوان ,Kasaba Yemen vilâyeti#
HAYY (K.tü’l-Hayy) ,حیّ ,Kaza MüntefikBasraIrak,#,,
Hazak (İDİL) ,هزق ,Nahiye (1924)#Kaza (1937)#CizreMardinDiyarbakır#Mardin#
HAZANE (Cezire-i Hazane) ,خزانه ,Nahiye (1530) Ana ve HitDiyarbakır eyâleti#
HAZAR (Kavak) ,حضر ,Nahiye MadenElâzığ#
HAZAR ,حضر ,Antik şehir MerkezMusulIrak#
HAZEKYAN ,خذکيان ,Nahiye Mrk. Bağışlı (Şivelân)MerkezHakkâri#
HAZİRE ,خزيره ,Nahiye (1865) MerkezKerekSuriye vilâyeti#
Hazo (KOZLUK) ,هازو ,Sancak (1520)#Nahiye (1924)#Kaza (1938)#Diyarbakır eyâleti#SasonSiirt#Siirt#
HAZOR ,حذور ,Nahiye (1888) MerkezTrablusşamBeyrut vilâyeti#
HAZRO (Tercil) ,حضرو ,Nahiye (1530)#Kaza#Nahiye (1871)#Kaza (1954)#MerkezÂmidDiyarbakır eyâleti#DiyarbakırDiyarbakır eyâleti#SilvanDiyarbakır vilâyeti#Diyarbakır#
HEBRON (Halilürrahman) (El-Halil) (Kudüs’ün güneyinde. Dünyanın çeşitli yerlerinde yedi adet “Hebron” daha var.) ,حبرون ,Kaza (1874) KudüsFilistin#
HECER ,هجر ,Antik şehir Bahreyn#
HEKİMDAĞ (Yarımca) (Taşk.prü) ,حکيم طاغ ,Köy (C.Ö.)#Nahiye#MerkezMerkezEskişehir#MerkezEskişehir,#,,
HEKİMHAN ,حکيم خان ,Kaza (1834)#Nahiye (1871)#Kaza (1920)#kaza (1924)#MaadinHarput eyâleti#AkçadağMalatyaMam.retülaziz sancağı#MalatyaMam.retülaziz#Malatya#
HEKME ,هکمه ,Nahiye (Mursal bucağı#bölgesinde idi. Köylerinden#Armutak ve Vazıldan halen#Mursal bucağına bağlı.)#DivriğiDivriği-DarendeRum eyâleti#
HELALDI ,هله لدی ,Nahiye TürkeliSinop#
HEMEDÂN ,همدان ,Eyâlet (1723)#Eyâlet (1732)#Hemedân eyâleti#İran#
HEMEDÂN ,همدان ,Nahiye (Arap kabilesi) SanaYemenYemen vilâyeti#
HEMİT ,هميت ,Nahiye (1865)#Köy#MalkaraTekirdağEdirne#ŞahinMalkaraTekirdağ#
HEMŞİN (Ortaköy) (Zugaortaköy) ,همشين ,Kaza (1530)#Kaza (1585)#Nahiye (1878)#Nahiye (1924)#Kaza (1924)#TrabzonRum eyâleti#LazistanTrabzon eyâleti#AtinaLazistanTrabzon vilâyeti#PazarRize#Rize#
HENDEK ,خندک ,Nahiye (1878)#Kaza (1924)#Kaza (1954)#Adapazarıİzmit sancağı#Kocaeli#Sakarya#
HERBİL ve UTARİ ,هربيل وَ اوتاری ,Sancak Şehrizor eyâleti#
HEREK (İrek) ,هرک ,Kaza Mrk. (1865)#Kaza Mrk.#ErbaaTokatSivas vilâyeti#ErbaaTokat#
HEREKE (Düzce) ,هرکه ,Nahiye (1530)#Nahiye (1826)#Köy#YenişehirAydınAnadolu eyâleti#SeferihisarSığlaAydın eyâleti#MerkezSeferihisarİzmir,#,,
HEREKE (Tavşancıl) ,هرکه ,Nahiye (1878)#Nahiye (1924)#Nahiye (1990)#GebzeŞehremâneti#GebzeKocaeli#KörfezKocaeli#
HEREKE ,هرکه ,Nahiye (1865)#Köy#MalkaraTekfurdağıEdirne vilâyeti#YürükMalkaraTekirdağ#
HEREKLİ ,هرکلی ,Nahiye (1865)#Köy#YıldızeliSivasSivas vilâyeti#BedirliMerkezSivas#
HERGÜL ,هرکول ,Nahiye Mrk. (1880)#Köy#YediyaprakEruhSiirtBitlis#MerkezEruhSiirt#
HERHERİ ,هرهری ,Nahiye Mrk. ÇaylarbaşıSiverekŞanlıurfa#
Herki (Kürd.) (MEŞELİK) ,هرکی ,Nahiye (1888)#Köy#ŞemdinanHakkâriVan#MerkezŞemdinliHakkâri#
HERMANSTAD ,هرمانستاد ,Sancak TransilvanyaRomanya#
HERMEL maa MUNEYTIRA ,هرمل مع منيطره ,Kaza (1856) CebelinasaraSayda eyâleti#
HERMOPOLİS (Mısır’ın İhmim ve Demenhur şehirlerine de Makedonyalılar ve Romalılar tarafından “Hermopolis” adı verilmiştir. ,هرموپوليس ,Eyâlet Mrk. KikladeYunanistan#
HERSEK (Herzegovina) (Mostar) ,هرسک ,Sancak (1470)#Sancak (1580)#Sancak (1866)#Vilâyet (1875)#Vilâyet (1878)#Vilâyet (1920)#Vilâyet ( 1990)#Rumeli eyâleti#Bosna eyâleti#Bosna vilâyeti#Hersek vilâyeti#Avusturya-Macaristan idaresi#Yugoslavya#Bosna-Hersek#
HERSEK ,هرسک ,Köy (“Bosna-Hersek”le#tarihî ilgisi vardır.)#MerkezKaramürselKocaeli#
HERSİNİ (Merkez ve Baskil ilçelerinde aşiret adı.) ,هرسنی ,Nahiye (1834) MerkezHarputHarput eyâleti,#,,
Hertah (KARPUZLU) ,هرطه ,Kaza (17.yy.)#Köy#DiyarbakırDiyarbakır eyâleti#AğaçlıKulpDiyarbakır#
HEVARA ,هواره ,Nahiye (1851) ŞamiyeDivaniyeBağdad maa Şehrizor eyâleti#
HEVMEL ,هومل ,Nahiye BetrunCebelilübnan sancağı#
HEYBELİ ,هکبه لی ,Nahiye (1878) AdalarŞehremâneti#
Hezan (KAYACIK) ,هزان ,Nahiye LiceDiyarbakır#
HEZARGRAD (Razgrad) ,هزارغراد ,Sancak (1861-1863)#Kaza (1864)#Sancak (1878)#Vilâyet (1908)#Silistre eyâleti#RuscukTuna vilâyeti#Bulgaristan eyâleti#Bulgaristan#
HEZARMARD (Hezar-Merv) (Hazarud) (Harurmardûd) ,هزارمارد ,Sancak (16. yy.-1830) Şehrizor eyâleti#
HEZARŞAH ,هزارشاه ,Nahiye (1865)#Köy#AziziyeSivasSivas vilâyeti#MerkezBünyanKayseri#
Hezek (SIRASÖĞÜT) ,هزک ,Nahiye (1865)#Köy (Burç nahiyesinin#“Hezek” önekli iki k.yü#var.)#AyıntabHalebHaleb vilâyeti#BurçMerkezGaziantep#
HICCE ,حجه ,Kaza (1871) SanaYemen vilâyeti#
Hıdıran (YOLBULAN) ,حضران ,Nahiye (1834)#Köy#MerkezErganimadeniHarput eyâleti#MerkezErganiDiyarbakır#
HIDIRBABA ,حضربابا ,Nahiye Mrk. BalibeyMerkezElâzığ#
HIDIRBEY (Çekmece) ,حضربک ,Nahiye MerkezHatay,#,,
HIDIRNALI ,حضرنعلی ,Nahiye (1865)#Nahiye#Köy#MerkezSivasSivas vilâyeti#MerkezSivas#KaraçayırMerkezSivas#
HILLÎ ,حلی ,Nahiye KonfedaAsirYemen vilâyeti#
HINIS ,خنس ,Kaza (1514)#Sancak (1534)#Kaza (1855)#Sancak (1865)#Kaza (1924)#KemahRum eyâleti#Erzurum eyâleti#MuşErzurum eyâleti#Erzurum vilâyeti#Erzurum#
HINZIRI ve GÖMÜLGEN (Bünyan ile Pınarbaşı arasında “Hınzırdağı” var.) ,خنزر ی و کوملکان ,Nahiye (1530) ZamantıMaraşZülkadriye eyâleti#
G.mülgen (GÖMÜRGEN) ,کوملکان ,Köy AkkışlaBünyanKayseri#
Hınzoru (PINARLIKAYA) ,خنزوری ,Nahiye (1865)#Köy#MerkezErzincanErzurum vilâyeti#TanyeriMerkezErzincan#
HIRSOKİ ,خرسوکی ,Kaza (1861) KıbrısCezayir-i Bahr-i Sefid eyâleti#
HIRSOVA (Khirsovo) ,خرسوه ,Kaza (1862)#Kaza (1878)#RuscukSilistre eyâleti#TulcaTuna vilâyeti#
Hırtuz (SARIÇİÇEK) ,خرتوس ,Sancak (1578)#Köy#Çıldır eyâleti#EminbeyPosofKars#
HISNULEKRAD (Telkül.h) ,حصن الاکراد ,Nahiye (1517)#Kaza (1520)#Kaza#TrablusArap vilâyeti#HumusŞam eyâleti#Suriye,#,,
Hısn-ı Mansûr (ADIYAMAN) (1928’de Adıyaman oldu.) ,حصن منصور ,Nahiye (1515)#Kaza (1519)#Kaza (1522)#Kaza (1530)#Sancak (1849)#Kaza (1859)#Kaza (1883)#Vilâyet (1954)#BesniArap vilâyeti#ElbistanZülkadriye eyâleti#MaraşZülkadriye eyâleti#Divriği-DarendeRum eyâleti#Diyarbakır eyâleti#MalatyaMam.retülaziz eyâleti#MalatyaMam.retülaziz vilâyeti#Adıyaman#
Hızırbeyili (Çarşamba) (ÇAYCUMA) ,حضربک ايلی ,Kaza (1530)#Nahiye (1865)#Nahiye (1924)#Kaza (1944)#BoluAnadolu eyâleti#BartınBoluKastamonu eyâleti#DevrekZonguldak#Zonguldak#
HIZIRDİRACİ ,حضردراجی ,Nahiye (1851) SemaveDivaniyeBağdad#
HİCAZ (Mısır işgalinden sonra eyâlet teşkilatı kuruldu. Merkezi Cidde oldu. Hicaz vilâyetinin merkezi Mekke oldu.) ,حجاز ,Sancak#Sancak (1832-40)#Eyâlet (1841)#Sancak (1855)#Vilâyet (1868)#Sancak (1872)#Vilâyet (1875-1916)#Harem-i Nebevî eyâleti#Mısır idaresinde#Hicaz eyâleti#Habeş eyâleti#Hicaz vilâyeti#Harem-i Nebevi eyâleti#Hicaz vilâyeti#
HİCRİYE (Türbe) ,حجريه ,Kaza (1871) Taizzyemen vilâyeti#
HİLLE (El-Hille) (Camiayn) ,حلّه ,Sancak (1800)#Kaza (1851)#Sancak (1852)#Kaza (1855)#Bağdad eyâleti#DivaniyeBağdad maa Şehrizor eyâleti#Bağdad eyâleti#DivaniyeBağdad#
HİLVAN (Karacurun) ,حلوان ,Sancak (1520)#Nahiye (1867)#Kaza (1927)#Diyarbakır eyâleti#SiverekDiyarbakırDiyarbakır vilâyeti#Şanlıurfa#
HİMARE ,خيماره ,Nahiye (1867)#Nahiye (1923)#KoroleşErgiriYanya vilâyeti#KoroleşErgiriArnavutluk,#,,
HİMMETDEDE ,همت ده ده ,Nahiye#Nahiye (1990)#MerkezKayseri#KocasinanKayseri#
HİNDİYE (Dobriç) ,هنديه ,Kaza (1855)#Sancak (1860)#Kaza (1870)#DivaniyeBağdad maa Şehrizor eyâleti#Bağdad eyâleti#KerbelâBağdad#
HİNDÜLÜ (Koçhisar yöresinde cemaat adı.) ,هندولو ,Nahiye (16.yy.) KoçhisarAksarayKaraman eyâleti#
Hins (DUMLU) ,هنس ,Nahiye MerkezErzurum#
HİRE ,حيره ,Antik şehir (Fırat kenarında#Necef’in bulunduğu yer.)#Irak#
HİSAR ,حصار ,Kaza Merkezi (1960) DomaniçKütahya#
HİSARAN ,حصاران ,Nahiye (Çermik’in#Dilekpınar ve Ağaçhan#köyleri arasında idi.)#MerkezÇermikDiyarbakır eyâleti#
HİSARCIK ,حصارجق ,Kasaba#Kaza (1990)#MerkezEmetKütahya#Kütahya#
HİSARCIK maa ALAÇAM (Alaçam Hisarcıktan ayrı olarak sonra nahiye ve 1944’te kaza oldu. Hisarcık’ın yeri tesbit edilemedi.) ,حصارجق مع آلاچام ,Kaza (16.yy.)#Nahiye (1868)#CanikTrabzon eyâleti#BafraTrabzon vilâyeti#
HİSARCIK maa BELGRAD (Sancak ve eyâlet merkezi Belgraddır.) ,حصارجق مع بلغراد ,Sancak (1812) Sırp eyâleti#
HİSARÖNÜ (Filyos) ,حصار اوگی ,Kaza (1841)#Köy#Nahiye (1944)#BoluKastamonu eyâleti#MerkezMerkezZonguldak#ÇaycumaZonguldak#
HİT maa ANA ,هيت مع عنه ,Sancak (1530) Diyarbakır eyâleti,#,,
HİT ,هيت ,Kaza (1855)#Nahiye (1867)#DüleymBağdad maa Şehrizor eyâleti#DüleymBağdadBağdad vilâyeti#
HİZAN (Aşağıkarasu) ,خيزان ,Sancak (1520)#Sancak (17. yy.)#Kaza (1869)#Kaza (1878)#Kaza (1935)#Diyarbakır eyâleti#Van eyâleti#SiirtDiyarbakır vilâyeti#BitlisBitlis vilâyeti#Bitlis#
HİZOB ,خيزوب ,Nahiye (1830) KöysancakKerkükBağdad maa#Şehrizor eyâleti#
Hocabey (ODESA) ,هوجه بک ,Liman şehri#Liman şehri#UkraynaRusya#Ukrayna#
HOCALAR ,خوجه لر ,Nahiye#Kaza (1990)#SandıklıAfyon#Afyon#
HOCALAR ,خوجه لر ,Nihaye (1865)#Nahiye (1913)#KırcaaliEdirneEdirne vilâyeti#KırcaaliBulgaristan#
HOCALI ,خوجه لی ,Köy#Nahiye Mrk. (1959)#MerkezMerkezManisa#HalitpaşaSaruhanlıManisa#
Hoçuvan (HASKÖY) ,خوچوان ,Sancak (1578)#Nahiye (1921)#Nahiye (1926)#Nahiye (1992)#Kars eyâleti#GöleKars#ArdahanKars#Ardahan#
HOLHOL ,خولخول ,Nahiye (1865)#Nahiye (1929)#Nahiye Mrk. (1936)#KiğıErzurumErzurum vilâyeti#KiğıErzincan#YaylâdereKiğıBingöl#
HOLOK ,هولوق ,Sancak (1863) Uyvar eyâleti#
Homa (GÜMÜŞSU) ,حوما ,Kaza (1530)#Kaza (1841)#Nahiye (1924)#KütahyaAnadolu eyâleti#Karahisar-ı SahibHudavendigâr eyâleti#ÇivrilDenizli,#,,
"HOMARO (Bombo) (Lağvedilmiş. Homaro, aşiret olmalıdır. Merkezi olan “Bombo” 1928’de var. Şimdi bulunamadı.) ",خومارو ,Nahiye (1924) ŞemdinanHakkâriVan vilâyeti#
HONA ,حونا ,Kasaba Azerbaycan#
HONAN ,خونان ,Kasaba#Kasaba#GürcistanRusya#Gürcistan#
HONAZ ,خوناز ,Kaza (1826)#Nahiye (1924)#Kaza (1990)#DenizliAydın eyâleti#MerkezDenizli#Denizli#
HOPA (Diğer adı “Kay k.yü” idi.) ,خوپه ,Köy#Kaza (1868)#Kaza (1924)#Kaza (1936)#LazArhaviTrabzonRum eyâleti#LazistanTrabzon vilâyeti#Rize#Artvin#
Hopik (BEŞELMA) ,هوپيک ,Nahiye (1888)#Köy#OvacıkDersimMam.retülaziz vilâyeti#MerkezHozatTunceli#
HORA ,حوره ,Nahiye (1832) SisamSisam emâreti#
HORAH ,حوراه ,Nahiye (1867) ŞamiyeDivaniyeBağdad vilâyeti#
HORASAN ,خوراسان ,Köy#Nahiye#Kaza (1953)#Pasin-i Süfl.PasinlerErzurum#PasinlerErzurum#Erzurum#
HORASAN ,خوراسان ,Eyâlet İran#
HORASAN (Tarik-i Horasan) (Ba‘kuba) ,خوراسان ,Sancak (1852)#Kaza (1867)#Kaza#Bağdad maa Şehrizor eyâleti#BağdadBağdad vilâyeti#BağdadIrak#
Horhon (DÜZYAYLÂ) ,خورخون ,Nahiye (1865)#Köy#HafikSivasSivas vilâyeti#MerkezHafikSivas,#,,
HORİN (Zül-Hûrân) ,حورين ,Sancak (18.yy.)#Sancak#Şehrizor eyâleti#İran#
Hornovil (MALTEPE) ,خورنول ,Nahiye (17.yy.)#Köy#DivriğiSivasSivas eyâleti#MerkezDivriğiSivas#
HORPİŞTE ,خورپشته ,Nahiye (1874)#Nahiye (1913)#KesriyeGöriceManastır vilâyeti#KesriyeYunanistan#
HORSON (Kherson) ,خرسون ,Eyâlet#Eyâlet (Güney Rusya’da#karadeniz sahilinde. 1788’de#tesis olunup “Horson” antik#şehrinin adını almıştır.)#HorsonUkraynaRusya#Ukrayna#
HORSUNLU ,خرسونلی ,Nahiye (1956)#Nahiye#NazilliAydın#KuyucakAydın#
Hoşab (GÜZELSU) ,خوش آب ,Sancak (17. yy.)#Kaza merkezi (1855)#Nahiye#Nahiye (1935)#Van eyâleti#MahmudîHakkâriVan eyâleti#MahmudîVanVan eyâleti#GürpınarVan#
Hoşalay (DOĞANYURT) ,خوش آلای ,Kaza (1530)#Nahiye (1865)#Nahiye (1924)#Kaza (1990)#KastamonuAnadolu eyâleti#CideKastamonuKastamonu vilâyeti#İneboluKastamonu#Kastamonu#
HOŞARAP ,خوش عرب ,Nahiye NebekŞamSuriye vilâyeti#
Hoşin (Oşun) (ULUYAZI) (Daha önce yine Diyarbakır’a bağlı “Pesyeyuryan” sancağı olduğu bazı kaynaklarda belirtilmiştir.) ,هوشين ,Nahiye (1530)#Nahiye (1867)#Köy#MerkezSiverekDiyarbakır eyâleti#SiverekDiyarbakır vilâyeti#MerkezSiverekŞanlıurfa#
HOŞKAR ,خوشکار ,Nahiye Mrk. SancakMerkezBingöl,#,,
HOTAMIŞ ,خوطامش ,Nahiye KarapınarKonya#
HOTAŞLI ,خوطاشلی ,Nahiye (1865)#Nahiye (1919)#EğridereGümülcineEdirne vilâyeti#EğridereGümülcineYunanistan#
HOTİN (Hoçim) ,خوتين ,Eyâlet (17.yy)#Sancak (1650)#Sancak (1788)#Hotin eyâleti#.zü eyâleti#Lehistan#
HOTİN (Khotin) ,خوتين ,Kasaba#Kasaba#UkraynaRusya#Ukrayna#
HOY ,خوی ,Kaza Azerbaycanİran#
HOYDAR ,خويدر ,Kaza (1852) HorasanBağdad maa Şehrizor eyâleti#
Hoyran (KUMDANLI) ,خويران ,Nahiye (1865)#Nahiye (1924)#YalvaçHamidKonya vilâyeti#YalvaçIsparta#
HOZAT ,خوزات ,Köy#Kaza (1857)#Sancak Mrk. (1881)#Kaza (1926)#Kaza (1935)#MerkezOvacıkErzincanErzurum eyâleti#DersimHarput eyâleti#DersimMam.retülaziz vilâyeti#Elâzığ#Tunceli#
Hozunsu (AYDOĞDU) ,خوزونسی ,Nahiye (1865)#Köy#MerkezErzincanErzurum vilâyeti#MerkezMerkezErzincan#
HÖKETÇE ,هوکتچه ,Kaza merkezi (1958) TufanbeyliAdana#
HÖNGÜRE (K.prülü bucağına bağlı “.ündüre” k.yü var.) ,هونکره ,Nahiye (1530) MerkezAlâiyeAnadolu eyâleti#
Hösnek (ADAKLI) (Azakpert) ,هوسنک ,Nahiye (1865)#Nahiye (1936)#KiğıErzurumErzurum vilâyeti#KiğıBingöl,#,,
HUCEYLE ,حجيله ,Nahiye (1871) HarazSanaYemen vilâyeti#
HUDAVENDİGÂR (Bursa) ,خداوندکار ,Sancak (1393)#Eyâlet (1841)#Vilâyet (1867)#Vilâyet (1924)#Anadolu eyâleti#Hudavendigâr eyâleti#Hudavendigâr vilâyeti#Bursa#
HUDEYBİYE ,حديبيه ,Köy MerkezMekkeMekkeHicaz#
HUDEYDE ,حديده ,Sancak (1856)#Vilâyet (1899)#Sancak (1871)#Yemen eyâleti#Hudeyde vilâyeti#Yemen vilâyeti#
HÛH (Hûh-ı Ulyâ) ,خوخ ,"Nahiye MerkezElâzığ#(Lağvedildi, yerine Sivrice kazası kuruldu.)#"
HUMUS (Hıms) ,حمص ,Sancak (1517)#Sancak (1520)#Sancak (17.yy.)#Sancak (18.yy.)#Sancak (1830)#Kaza (1865)#Kaza (1867)#Arap vilâyeti#Şam eyâleti#Trablusşam eyâleti#Şam eyâleti#Trablusşam eyâleti#SamSuriye vilâyeti#HamaSuriye vilâyeti#
HUMUS ,خمس ,Sancak (1866) Trablusgarb vilâyeti#
HUMUS ,خمس ,Nahiye (1899) HacurHudeydeYemen vilâyeti#
HUNET ,هونت ,Eyâlet Macaristan#
HUNEYN ,هونين ,Kaza (1855)#Nahiye (1888)#BilâdıbeşareSayda eyâleti#MerciuyûnBeyrutBeyrut vilâyeti#
Hunut (ÇAMLIKAYA) ,هنود ,Nahiye İspirErzurum#
HUR ,هور ,Kaza (1799) BağdadBağdad maa Şehrizor eyâleti,#,,
Hurman (YAZIBELEN) ,هورمان ,Nahiye (1530)#Köy#ElbistanMaraşZülkadriye eyâleti#TanırAfşinKahramanmaraş#
HUŞ maa FALCI ,هوش مع فالجی ,Kaza (17.yy.) BoğdanBoğdan eyâleti#
HUVEYDAN ,هويدان ,Kaza (17.yy.) DiyarbakırDiyarbakır eyâleti#
HUVEYDİ maa BEHİSNİ ,هويدی مع بهسنی ,Kaza (Behisni=Besni halen#kaza. “Huveydi” veya “Hoydi”#1928’de Çelikhan bölgesinde#bulunan Porga nahiyesinin bir#k.yü g.rünüyor.)#BesniHarput eyâleti#
HUVEYZE ,هويزه ,Kasaba MerkezBasraBasra vilâyeti#
Huyût (KAVAKBAŞI) (Tap) ,خيوط ,Nahiye (1924) MutkiBitlis#
Hüm.yun.b.d (BEBEK) ,همايون آباد ,Köy#Semt#İstanbul#İstanbul#
Hün (BEYHANI) ,هون ,Nahiye (1889)#Kasaba#PaluErganimadeniDiyarbakır#MerkezPaluElâzığ#
HÜN ,هون ,Nahiye (1866) MerzukFizanTrablusgarb vilâyeti#
Hüseyin.b.d (ALACA) (1935’te “Alaca” denildi.) ,حسين آباد ,Nahiye (1530)#Kaza (1846)#Nahiye (1894)#Kaza (1919)#ZileSivas-TokatRum eyâleti#BozokBozok eyâleti#MerkezÇorumAnkara vilâyeti#Çorum#
Hüseyn. (BAĞLICA) (Sihiyan) ,حسينی ,Nahiye (1880)#Nahiye (1938)#MerkezSiirtBitlis vilâyeti#KurtalanSiirt#
HÜSEYNİYE ,حسينيه ,Kaza (1852) KerbelâBağdad maa Şehrizor eyâleti,#,,
HÜSREV PAŞA (Hanbar.inlü) ,خسرو پاشا ,Kaza (1841)#Kaza merkezi (1990)#K. HisarısahibHudavendigâr eyâleti#HanEskişehir#
HÜYÜK ,هيوک ,Nahiye#Kaza (1990)#BeyşehirKonya#Konya#
Hüyük (HÜYÜKKÖY) ,هيوک ,Nahiye (1877)#Köy#KebanMam.retülazizMam.retülaziz vilâyeti#AydınlarBaskilElâzığ
IĞDIR ,ايغدير ,Nahiye (1920)#Nahiye (1925)#Kaza (1934)#Vilâyet (1995)#MerkezBayazıtErzurum vilayeti.#MerkezBayazıt vilayeti.#Kars#Iğdır#
IKLİBİYE ,اقليبيه ,Kasaba Tunus#
ILGAZ (Koçhisar) ,ايلغاز ,Kaza (1530)#Kaza (1846)#Nahiye (1865)#Kaza (1924)#KengırıAnadolu eyâleti#KengırıBozok eyâleti#MerkezKengırıKastamonu vilâyeti#Çankırı# 
ILGIN,ايلغين ,Kaza (1530)#Kaza (1865)#Kaza (1924)#AkşehirKaraman eyâleti#KonyaKonya vilâyeti#Konya#
ILICA (Ilıca-i Saruhan) (Eski Ilıca kazası bölgesinde halen “Ahmetli” bucağı var. Ilıca=Kaplıca’nın bulunduğu Urganlı kasabası ise halen Turgutlu merkez bucağına bağlıdır.) ,ايليجه ,Kaza (1530)#Nahiye (1864)#Nahiye (1924)#SaruhanAnadolu eyâleti#TurgutluSaruhanAydın eyâleti#TurgutluManisa#
ILICA (.ermelü) ,ايليجه ,Nahiye (1530)#Nahiye (1924)#Kaza (1990)#SoğikBayburtRum eyâleti#MerkezErzurum#Erzurum#
ILICA ,ايليجه ,Nahiye BalyaBalıkesir#
ILICA (Ilıca-i Çeşme) ,ايليجه ,Nahiye (1530)#Mahalle#ÇeşmeAydınAnadolu eyâleti#Çeşmeİzmir,#,,
ILICA-İ BERGAMA (Zağnos) ,ايليجهء برغمه ,"Nahiye#(Lağvedildi. Zağnos, halen#Göçbeyli bucağına bağlı#köy.)#Bergamaİzmir#"
ILICALAR (Fahran) ,ايليجه لر ,Nahiye#(Eski “Perhangök” bucağı#bölgesinde kuruldu.)#MerkezBingöl#
ILICA maa KÖSTENDİL (Kyustendil) ,ايليجه مع کوستنديل ,Kaza (1878)#(Köstendil civarında bulunan#dokuz adet kaplıcanın da bir#dönem idari birim addedildiği#anlaşılıyor.)#SofyaBulgaristan eyâleti#
ILISU ,ايلی صو ,Nahiye#Köy#MerkezAmasya#MerkezG.ynücekAmasya#
IRAK ,عراق ,Nahiye (1865) MerkezKerekSuriye vilâyeti#
ISPALATRO (Split=Spalato) ,اسپلاترو ,Liman şehri DalmaçAvusturya#
Ispanak (GÜLDÜZÜ) ,اسپناق ,Nahiye merkezi#Kaza merkezi (1990)#PolateliKilisGaziantep#PolateliKilis#
ISPARTA ,اسپارطه ,Sancak merkezi (1415)#Sancak merkezi (1846)#Sancak merkezi (1865)#Vilâyet (1924)#HamidAnadolu eyâleti#HamidKaraman eyâleti#HamidâbâdKonya vilâyeti#Isparta#
ISPARTA (Mistra) (Isparta tarihi bir şehir olup eski Yunan’da hükümet adı ve merkezidir.) ,اسپارطه ,Eyâlet merkezi LakonyaYunanistan#
ISPAT (Spathi) ,اسپاط ,Nahiye (1874) MerkezDebreManastır#
IŞIKLAR ,ايشقلر ,Nahiye#Köy#BandırmaBalıkesir#DarıcaManyasBalıkesir#
IŞIKLAR ,ايشقلر ,Nahiye (1865)#Köy#MerkezTekfurdağıEdirne vilâyeti#BarbarosMerkezTekirdağ,#,,
