İdârî Birimin Yeni Harflerle Adı 1	İdârî Birimin Yeni Harflerle Adı 2	İdârî Birimin Yeni Harflerle Adı 3	İdârî Birimin Yeni Harflerle Adı 4	İdârî Birimin Yeni Harflerle Adı 5	İdârî Birimin Yeni Harflerle Adı note	Eski Harflerle Adı	Unvan 1	Unvan 1 year	Unvan 1 note	Bagli 1 4	Bagli 1 3	Bagli 1 2	Bagli 1 1	Unvan 2	Unvan 2 year	Unvan 2 note	Bagli 2 4	Bagli 2 3	Bagli 2 2	Bagli 2 1	Unvan 3	Unvan 3 year	Unvan 3 note	Bagli 3 4	Bagli 3 3	Bagli 3 2	Bagli 3 1	Unvan 4	Unvan 4 year	Unvan 4 note	Bagli 4 3	Bagli 4 2	Bagli 4 1	Unvan 5	Unvan 5 year	Unvan 5 note	Bagli 5 3	Bagli 5 2	Bagli 5 1	Unvan 6	Unvan 6 year	Unvan 6 note	Bagli 6 2	Bagli 6 1	Unvan 7	Unvan 7 year	Unvan 7 note	Bagli 7 2	Bagli 7 1	Unvan 8	Unvan 8 year	Unvan 8 note	Bagli 8 2	Bagli 8 1	Unvan 9	Unvan 9 year	Bagli 9 3	Bagli 9 2	Bagli 9 1	Unvan 10	Unvani 10 year	Bagli 10 2	Bagli 10 1	Unvan 11	Unvani 11 year	Bagli 11 2	Bagli 11 1	Unvan 12	Bagli 12	Unvan 13	Bagli 13	Unvan 14	Unvan 14 year	Bagli 14
KOLAY						قولای	Nahiye	1874				Bafra	Samsun																																																													
KOLONYA	Ersek					قولونيه	Kaza	1874				Görice	Manastır vilâyeti																																																													
KOLOS	Kolosvar					قولوس	Sancak		Kolos ile Kolosvar aynı yer olup “Var” Macarcada Hisar demektir.			Erdel	Macaristan																																																													
KOLOS maa BOYÂBÂD						قولوس مع بوی آباد	Kaza	1846				Sinop	Kastamonu eyâleti																																																													
KOMANAT					Tokat merkez bucağına bağlı “Gümenek” k.yü olabilir.	قومنات	Nahiye	~1530			Tokat	Sivas-Tokat	Rum eyâleti																																																													
KOMANOVA						قومان اوه	Kaza	1877				Üsküb	Kosova vilâyeti																																																													
KOMAROM					1543 ve 1594’te Osmanlılar tarafından iki defa zabtedildi.	قوماروم	Sancak						Macaristan																																																													
KOMENİÇE						کومنجه	Nahiye	1867			Yenice-i Vardar	Selânik	Selânik vilâyeti																																																													
KOMİ						قومی	Kasaba		Ağrıboz adasında.				Yunanistan																																																													
Konağı	KONAKLI					قوناغی	Nahiye	~1597			Çermik	Erganimadeni	Diyarbakır eyâleti	Nahiye	1924			Merkez	Çermik	Diyarbakır																																																						
KONAK						قوناق	Kaza	~1990					İzmir																																																													
KONAKKURAN	Düğnük					قوناق قوران	Nahiye merkezi				Nurettin	Malazgirt	Muş																																																													
KONAKPINAR						قوناق پيکار	Nahiye	1910				Merkez	Balıkesir																																																													
KONAKPINAR						قوناق پيکار	Nahiye					Gürün	Sivas																																																													
KONDU						قوندی	Köy				Merkez	Of	Trabzon	Nahiye merkezi				Dernekpazarı	Çaykara	Trabzon																																																						
KONEFKİRŞEN						قونفکيرشن	Şehir						Macaristan																																																													
KONFUDA						قونفوده	Kaza	1873				Asir	Yemen vilâyeti																																																													
KONİÇE						قونيچه	Kaza	1867				Yanya	Yanya vilâyeti																																																													
KONİÇE						قونيچه	Kaza	1866				Hersek	Bosna vilâyeti																																																													
Konur	SULAKYURT	Şeyhşami-i Kebîr				قوگور	Kaza	1849				Ankara	Bozok eyâleti	Nahiye	1889			Kalecik	Ankara	Ankara vilâyeti	Kaza	1960					Ankara	Kaza	1989				Kırıkkale																																									
KONUR						قوگور	Nahiye	~1530			Kırşehir	Bozok	Zülkadriye eyâleti																																																													
Konûrâbâd	DÜZCE					قوگور آباد	Kaza	~1530				Bolu	Anadolu eyâleti	Kaza	1865				Bolu	Kastamonu vilâyeti	Kaza	1924					Bolu	Vilâyet	1999				Düzce																																									
KONURALP	Üskübü					قوگور آلپ	Nahiye	1924				Düzce	Bolu	Nahiye	1999				Merkez	Düzce																																																						
Konurapa	BOLU				Bolu’yu fetheden ve ilk sancak beyi olan “Konuralp”ın adına izafeten	قوگور آپا	Sancak	~1530					Anadolu eyâleti																																																													
KONYA						قونيه	Sancak	1483					Anadolu eyâleti	Eyâlet merkezi	1514					Karaman eyâleti	Vilâyet	1865					Konya																																															
KOP						قوپ	Kaza merkezi					Bulanık	Muş																																																													
KOPAN	Koppany					قوپان	Sancak	1554					Budin eyâleti	Sancak	1600					Kanije eyâleti	Sancak	1686					Macaristan																																															
KORAMAZ						قوراماز	Nahiye		Gesi bucağının Subaşı=.sgübü k.yü civarı.		Merkez	Kayseri	Karaman eyâleti																																																													
KORDUFAN	Ubeyd					قوردوفان	Müdiriyet				Sudan-ı Mısrî		Mısır eyâleti																																																													
KORENDOS						قرندوس	Nahiye	1867			Merkez	Yanya	Yanya vilâyeti																																																													
KORENT						قورنته	Kaza						Korentiya maa Argolida eyâleti	Kaza					Mora	Yunanistan																																																						
KORFU	Kerkyra = Korfoz					قورفو	Eyâlet (ada)		Arnavutluk sınırında.				Yunanistan																																																													
KORGAN	Keşderesi					قورغان	Köy				Merkez	Fatsa	Ordu	Nahiye	1946				Fatsa	Ordu	Kaza	1960					Ordu																																															
KORGUN						قورغون	Nahiye					Merkez	Çankırı	Kaza	~1990					Çankırı																																																						
KORİN						قورين	Kaza					Dağıstan	Rusya																																																													
KORKUT	Azakpur	Til				قورقود	Nahiye	1884			Merkez	Muş	Bitlis vilâyeti	Nahiye	1926				Muş	Bitlis	Nahiye	1929				Merkez	Muş	Kaza	~1990				Muş																																									
KORKUTELİ	İstanos					قورقود ايلی	Nahiye	~1530			Merkez	Teke	Anadolu eyâleti	Kaza	1914					Teke sancağı	Kaza	1924					Antalya																																															
KORLADİK					Bazı kaynaklarda Korlauk, Körlevat şekillerinde geçmiş	کورلادک	Sancak	17. yy.					Van eyâleti																																																													
KOROLEŞ	Koç					قورولش	Kaza	1867				Ergiri	Yanya vilâyeti																																																													
KOROM						قوروم	Nahiye		1928’de nahiyedir. Lağvedilmiş. İki k.yü halen Gümüşhane Merkeze, iki k.yü de Torul merkeze bağlı.			Torul	Gümüşhane																																																													
KORON	Korone					قورون	Sancak	17. yy.					Cezayir-i Bahr-i Sefid eyâleti	Sancak	1827				Mora	Yunanistan																																																						
KORUCU						قوروجی	Nahiye	1913				Merkez	Balıkesir	Nahiye	1944				İvrindi	Balıkesir																																																						
KORUKAVAK						قوری قواق	Kaza	~1840				Viranşehir	Kastamonu eyâleti																																																													
KORUPAZAR-ı NALLU						قوری بازار نعللو	Nahiye	~1530			Beypazarı	Hudavendigâr	Anadolu eyâleti																																																													
KORUPAZARI					Karıpazarı ile aynı yer olabilir.	قوری بازاری	Kaza	1849				Kengırı	Bozok eyâleti																																																													
KO	Kos	İstanköy				قو	Ada		Kaza				Cezayir-i Bahr-i Sefid eyâleti	Ada (kaza)	1948					Yunanistan																																																						
Kosor	AKŞAR					قوصور	Nahiye					Oltu	Erzurum	Nahiye	1946				Şenkaya	Erzurum																																																						
KOSOVA	Priştine					قوصوه	Vilâyet						Kosova vilâyeti	Vilâyet	1913					Sırbistan																																																						
KOSTANİÇE maa KOZARCA						قوستانيچه مع قوزارجه	Kaza	1580				Bihke	Bosna eyâleti																																																													
KOSTANİÇE						قوستانيچه	Kaza	1866				Banaluka	Bosna vilâyeti																																																													
KOSTANTİNE	Coustantine					قوستانطينه	Eyâlet						Cezayir																																																													
KOSUN						قصون	Kaza	1517	Gülek bucağı bu kazaya bağlı idi.)			Tarsus	Arap vilâyeti																																																													
KOŞUKAVAK	Krumov-grad					قوشيقواق	Kaza merkezi	1865			Sultanyeri	Gümülcine	Edirne	Kaza	1919				Kırcaali	Yunanistan																																																						
KOTEL						قوتل	Kaza merkezi	1878			Kazan	İslimiye	Rumeli-i Şarkî	Kaza merkezi	1908			Kazan	İslimiye	Bulgaristan																																																						
KOTOR	Kotar					قطور	Sancak	15. yy.					Rumeli eyâleti																																																													
Kotum	KÜÇÜKSU					قوتوم	Nahiye					Tatvan	Bitlis																																																													
KOTUR	Vâdi-i Beni Kotur	Vâdi-i Kotur				قطور	Sancak	~1568					Van eyâleti	Kaza	1850				Van	Hakkâri eyâleti	Kaza	1876				Hakkâri	Van eyâleti	Kasaba	1878		Hoy	Azerbaycan vilâyeti	İran																																									
KOVANCILAR						قوانجيلر	Kasaba				Merkez	Palu	Elâzığ	Kaza	~1990					Elâzığ																																																						
Kovani	GÜVENLİK					قوانی	Nahiye	~1530			Koyulhisar	Karahisar-ı Şarkî	Rum eyâleti	Köy				Merkez	Reşadiye	Tokat																																																						
KOVANLIK						قوانلق	Nahiye	1934				Bulancak	Giresun	Nahiye	~1990				Piraziz	Giresun																																																						
KOYULHISAR	Koyluhisar	Muşaz				قويلحصار	Kaza	~1530				Karahisar-ı Şarkî	Rum eyâleti	Kaza	1846				Karahisar-ı Şarkî	Trabzon eyâleti	Kaza	1869				Karahisar-ı Şarkî	Sivas vilâyeti	Kaza	1924				Şebinkarahisar	Kaza	1933				Sivas																																			
KOYUNAĞILI						قويون آغيلی	Nahiye	1867			Mihalıççık	Ankara	Ankara vilâyeti	Köy				Merkez	Mihalıççık	Eskişehir																																																						
Koyuneli	HAMDİBEY					قويون ايلی	Nahiye merkezi				Agonya	Edremit	Balıkesir	Nahiye	1936				Yenice	Çanakkale																																																						
Koyva	KUZULU					قويوه	Nahiye	1865			Merkez	Kırkkilise	Edirne vilâyeti	Köy				Merkez	Merkez	Kırklareli																																																						
KOZAĞZI						قوز آغزی	Kaza merkezi	1945				Perşembe	Ordu																																																													
KOZAK	Yukarıbey					قوزاق	Nahiye	1867			Bergama	İzmir	Aydın vilâyeti	Nahiye	1924				Bergama	İzmir																																																						
KOZAKLI						قوزاقلی	Köy				Merkez	Avanos	Kırşehir	Nahiye	1924				Avanos	Kırşehir	Kaza	1954					Nevşehir																																															
KOZAN	SİS					قوزان	Sancak	1517					Arap vilâyeti	Sancak	16. yy.					Zülkadriye eyâleti	Sancak	1571					Kıbrıs eyâleti	Sancak	1608				Adana eyâleti	Sancak					Halep eyâleti	Sancak	1732			Adana eyâleti	Sancak				Kıbrıs eyâleti	Sancak	1850		Bozok eyâleti		Sancak	1866			Adana vilâyeti	Sancak	1867		Halep vilâyeti	Kaza	1869	Adana	Adana vilâyeti	Sancak	Adana	Vilâyet	Kozan	Kaza 	1926	Adana
KOZANA	Kozani					قوزانه	Kaza	1889				Serfiçe	Manastır vilâyeti	Kaza	1913				Serfiçe	Yunanistan																																																						
KOZANLI maa İNCESU						قوزانلی مع اينجه صو	Kaza	1846				Kayseri	Bozok eyâleti																																																													
KOZARCA maa KOSTANİÇE						قوزارجه مع قوستانيچه	Kaza	1866				Bihke	Bosna vilâyeti																																																													
KOZCAĞIZ	Ahmetler					قوزجه غيز	Nahiye					Bartın	Zonguldak	Nahiye	1991				Merkez	Bartın																																																						
KOZLU						قوزلی	Nahiye					Merkez	Zonguldak	Kaza	~1990					Zonguldak																																																						
KOZLU						قوزلی	Nahiye	1865			Erbaa	Tokat	Sivas vilâyeti	Nahiye	1924				Erbaa	Tokat																																																						
KOZLUCA						قوزليجه	Kaza	1846				Varna	Silistre eyâleti	Kaza	1908				Varna	Bulgaristan																																																						
KOZLUK	Hazo					قوزلق	Nahiye	1924				Sason	Siirt	Kaza	1938					Siirt	Kaza	1990					Batman																																															
KOZYÜRÜK						قوزيورک	Nahiye	1865			Malkara	Tekfurdağı	Edirne vilâyeti	Kasaba				Şahin	Malkara	Tekirdağ																																																						
KÖHNE-İ KEBİR						کهنهء کبير	Nahiye merkezi	~1530		Sorgun	Zile	Sivas-Tokat	Rum eyâleti	Kaza merkezi	1846			Sorgun	Bozok	Bozok eyâleti	Kaza merkezi	1926				Sorgun	Yozgat																																															
KÖKEZ	Göğez					کوکس	Nahiye	1874			İstarova	Görice	Manastır																																																													
KÖKEZ						کوکس	Kaza merkezi	1926			Serik	Teke	Konya vilâyeti																																																													
KÖLÜK						کولک	Kaza merkezi					Kâhta	Adıyaman																																																													
KÖMÜR	Goemoer	Groş Stefeldrof				کومور	Eyâlet						Macaristan																																																													
KÖMÜRLÜ	Göllet					کومورلی	Nahiye	1946				Şenkaya	Erzurum																																																													
KÖMÜRN	Koemoern					کومورن	Eyâlet						Macaristan																																																													
KÖNİ	Sarıgöl					کونی	Kaza	1841				Kastamonu	Kastamonu eyâleti																																																													
KONİ maa ÇERKEŞ						کونی مع چرکش	Kaza	1849				Kengırı	Kastamonu eyâleti																																																													
K.prü	VEZİRKÖPRÜ	Gedegara				کوپری	Kaza	~1530				Canik	Rum eyâleti	Kaza	1847				Amasya-Çorum	Sivas eyâleti	Kaza	1865				Amasya	Sivas vilâyeti	Kaza	1924				Samsun																																									
KÖPRÜ maa PRAKİN						کوپری مع پراکين	Kaza	1812					Sırp eyâleti																																																													
KÖPRÜBAŞI	Şark.güneşera					کوپری باشی	Nahiye					Sürmene	Trabzon	Kaza	~1990					Trabzon																																																						
KÖPRÜBAŞI	Elemi					کوپری باشی	Nahiye					Vezirköprü	Samsun																																																													
KÖPRÜBAŞI						کوپری باشی	Nahiye					Gördes	Manisa	Kaza	~1990					Manisa																																																						
KÖPRÜKÖY						کوپری کوی	Nahiye merkezi				Çobandede	Pasinler	Erzurum	Kaza	~1990					Erzurum																																																						
KÖPRÜLÜ	Titov Veles					کوپريلی	Kaza	1867				Selânik	Selânik vilâyeti	Kaza	1913				Selânik	Yunanistan																																																						
KÖPRÜLÜ	Girenes					کوپريلی	Nahiye	1914				Alanya	Antalya	Nahiye	1936				Gündoğmuş	Antalya																																																						
KÖPRÜÖREN						کوپری ويران	Nahiye					Merkez	Kütahya																																																													
KÖRFEZ						کورفز	Kaza	~1990					Kocaeli																																																													
KÖSE	Çiftlik					کوسه	Nahiye	1924				Kelkit	Gümüşhane	Kaza	~1990					Gümüşhane																																																						
KÖSEFAKILI						کوسه فاقيهلی	Nahiye					Çiçekdağı	Kırşehir																																																													
KÖSRELİ						کوسره لی	Nahiye					Ceyhan	Adana																																																													
KÖSTENCE	Costanta	Koustanitza	Tekfurgölü			کوستنجه	Kaza	1846				Varna	Silistre eyâleti	Sancak	1861					Silistre eyâleti	Kaza	1864				Tulca	Tuna vilâyeti	Kaza	1913				Romanya																																									
KÖSTENDİL	Kyustendil					کوستنديل	Sancak	16. yy.					Rumeli eyâleti	Sancak	1846					Niş eyâleti																																																						
KÖSTENDİL maa ILICA						کوستنديل مع ايليجه	Kaza	1878				Sofya	Bulgaristan eyâleti																																																													
KÖSTENDİL						کوستنديل	Sancak	1878					Bulgaristan eyâleti	Vilâyet	1908					Bulgaristan																																																						
Köstere	TOMARZA					کوستره	Nahiye	~1530			Kars	Maraş	Zülkadriye eyâleti	Kaza	16. yy.				Kayseri	Karaman eyâleti	Kaza	1846				Kayseri	Bozok eyâleti	Nahiye	1867		Develi	Kayseri	Ankara vilâyeti	Nahiye	1924			Develi	Kayseri	Kaza	1953			Kayseri																														
KÖŞK						کوشک	Nahiye	~1530			Merkez	Aydın	Anadolu eyâleti	Kaza	1811				Merkez	Aydın eyâleti	Nahiye	1867				Merkez	Aydın vilâyeti	Nahiye	1924			Merkez	Aydın	Kaza	~1990				Aydın																																			
KÖTEK						کوتک	Nahiye	1924				Kağızman	Kars																																																													
KÖYCEĞİZ	Yüksekkum					کويجه کيز	Kaza	~1530				Menteşe	Anadolu eyâleti	Kaza	1811				Menteşe	Aydın eyâleti	Kaza	1924					Muğla																																															
KÖYSANCAK						کويسنجاق	Sancak	18. yy.					Şehrizor eyâleti	Kaza	~1830				Kerkük	Bağdad maa Şehrizor eyâleti	Kaza				Şehrizor	Musul	Irak																																															
KÖYYERİ						کوی يری	Nahiye	1865			Aziziye	Sivas	Sivas vilâyeti	Nahiye merkezi	1927			Sarız	Pınarbaşı	Kayseri	Kaza merkezi	1946				Sarız	Kayseri																																															
KRANDOS maa YANYA						قراندوس مع يانيه	Kaza	1846				Yanya	Yanya eyâleti																																																													
KRANYA						قرانيه	Kaza	1812				Belgrad	Sırp eyâleti	Kaza	1881					İşkodra vilâyeti																																																						
KRASOSORNİ						قراسوسورنی	Eyâlet						Macaristan																																																													
KRONSTAD	Brasso					قرونستاد	Eyâlet						Macaristan																																																													
Kroşevaç	Krouchevatz	ALACAHİSAR				قروشواچ	Sancak		1428-1833 arası Osmanlı hâkimiyetinde kaldı.				Sırp eyâleti							Yugoslavya																																																						
KRATOVA maa MADEN						قره طوه مع معدن	Kaza	1846				Üsküb	Üsküp eyâleti																																																													
KRATOVA						قره طوه	Kaza	1877				Üsküb	Kosova vilâyeti																																																													
KRUPA						قروپه	Sancak	1584					Bosna eyâleti	Kaza	1865-78				Hersek	Bosna vilâyeti	Kaza merkezi	1881			Akçahisar	Dıraç	İşkodra vilâyeti																																															
KSANAD						قساناد	Eyâlet						Macaristan																																																													
KSENDİRE	Kassandra	Poliyiros				کسنديره	Kaza	1867				Selânik	Selânik vilâyeti	Kaza	1913				Selânik	Yunanistan																																																						
KSONGRAD						قسونغراد	Eyâlet						Macaristan																																																													
KUBAN	Yekaterinodar					قوبان	Eyâlet					Kafkasya	Rusya																																																													
KUBBE						قبه	Nahiye	1867			Derne	Bingazi	Libya																																																													
KUBE						قبه	Nahiye				Beşiri	Diyarbakır	Diyarbakır vilâyeti																																																													
KUDÜS	Kuds-i Şerif					قدس	Sancak	1517					Arap vilâyeti	Sancak	1520					Şam eyâleti	Sancak	1830-1840					Mısır yönetimi	Sancak	1846				Sayda eyâleti	Eyâlet	1854-55				Kuds-i Şerif eyâleti	Sancak	1856			Sayda eyâleti	Sancak	1865			Suriye vilâyeti	Müstakil sancak	1874		Kuds-i Şerif sancağı																					
KÛH						کوه	Nahiye	1865			Sultanyeri	Gümülcine	Edirne vilâyeti	Nahiye	1919			Sultanyeri	Gümülcine	Yunanistan																																																						
KÛH-İ KARAKUŞ						کوه قره قوش	Nahiye		Köylerinin çoğu şimdi Erbaa bölgesinde		Niksar	Sonisa-Niksar	Rum eyâleti																																																													
KULA						قوله	Kaza	~1530				Kütahya	Anadolu eyâleti	Kaza	1866				Saruhan	Aydın vilâyeti	Kaza	1924					Manisa																																															
KULABOŞ						قولابوش	Sancak	1552					Tımışvar eyâleti																																																													
KULELİBERGOS						قله لی برغوس	Nahiye	1865			Dimetoka	Edirne	Edirne vilâyeti	Nahiye	1919				Dimetoka	Yunanistan																																																						
KULP	Pasor					قولب	Sancak	1520-1830					Diyarbakır eyâleti	Nahiye	19. yy.			Merkez	Âmid	Diyarbakır eyâleti	Kaza	1867				Diyarbakır	Diyarbakır vilâyeti	Kaza	1878			Genç	Bitlis	Kaza					Diyarbakır																																			
KULU						قولو	Köy				Merkez	Cihanbeyli	Konya	Kaza	1954					Konya																																																						
KULUNCAK	Ayvalı					قولينجق	Nahiye	1924				Darende	Sivas	Nahiye	1934				Darende	Malatya	Kaza	~1990					Malatya																																															
KUMARÖZÜ						قومار اوزی	Nahiye	~1530			Kırşehir	Bozok	Zülkadriye eyâleti																																																													
KUMDANLI	Hoyran					قومدانلی	Nahiye	1865			Yalvaç	Hamid	Konya vilâyeti	Nahiye	1924				Yalvaç	Isparta																																																						
KUMKALE						قوم قلعه	Kaza	1841				Biga	Hudavendigâr eyâleti	Kasaba	1886			İntepe	Kale-i Sultaniye	Biga	Köy				İntepe	Merkez	Çanakkale																																															
KUMLU	Hamam					قوملی	Nahiye					Reyhanlı	Hatay	Kaza	~1990					Hatay																																																						
KUMLUCA	İğdir	Sarıkavak				قومليجه	Nahiye	~1530			Merkez	Teke	Anadolu eyâleti	Kaza	1846				Teke	Karaman eyâleti	Nahiye	1865			Merkez	Teke	Konya vilâyeti	Nahiye	1914			Finike	Teke sancağı	Kaza	1958	İlk dönemde Kardiç=Kemer ile birlikte kaza idi.)			Antalya																																			
KUMLUCA						قومليجه	Nahiye	1944				Ulus	Zonguldak	Nahiye	1991				Ulus	Bartın																																																						
KUMRU	Karaçalı					قومری	Nahiye					Fatsa	Ordu	Kaza	1960					Ordu																																																						
KUNEYTİRE	El-Kuneytire					قنيطره	Sancak merkezi	1859				Golan	Şam eyâleti	Kaza	1863				Şam	Şam eyâleti	Kaza	1865				Havran	Suriye vilâyeti																																															
KUNFUDA						قنفده	Kaza		Asir’in iskelesi			Asir	Yemen vilâyeti																																																													
KURÂ-YI CEDİD						قرای جديد	Nahiye	1865			Merkez	Gümülcine	Edirne	Nahiye	1919			Merkez	Gümülcine	Yunanistan																																																						
Kurâ-yı Seb’a	İKİZDERE	Çağrankaya				قرای سبعه	Nahiye	1868			Merkez	Rize	Trabzon	Nahiye	1924				Merkez	Rize	Kaza	1945					Rize																																															
KUREYBE						قريبه	Kasaba						Hadramut																																																													
KUREYŞ					Eskil kazası bölgesinde cemaat adı.	قريش	Kaza	16. yy.				Konya	Karaman eyâleti																																																													
KURNA						قورنه	Kaza	1884				Basra	Basra vilâyeti																																																													
KURŞUNLU	Karacaviran					قورشونلی	Kaza	~1530				Kengırı	Anadolu eyâleti	Kaza	1849				Kengırı	Bozok eyâleti	Nahiye	1882			Çerkeş	Kengırı	Kastamonu vilâyeti	Nahiye	1912			Ilgaz	Kastamonu vilâyeti	Kaza	1944				Çankırı																																			
KURŞUNLU						قورشونلی	Nahiye					Hekimhan	Malatya																																																													
KURŞUNLU	Koyrchounlie					قورشونلی	Nahiye		Berlin Kongresiyle Sırbistan’a verildi				Sırbistan																																																													
KURTALAN	Mısrıç					قورد آلان	Kaza		1938’de Garzan’ın adı ve Merkezi değiştirilerek yapıldı.				Siirt																																																													
KURTHASANLI						قورد حسنلی	Nahiye					Kadınhanı	Konya																																																													
KURTKALE						قورد قلعه	Nahiye	1926				Çıldır	Kars	Nahiye	1992				Çıldır	Ardahan																																																						
KURTKULAĞI						قورد قلاغی	Kasaba				Merkez	Ceyhan	Adana																																																													
KURTÖKÜZÜ						قورد اوکوزی	Nahiye		Karlıova merkez bucağı bölgesinde idi.		Merkez	Kiğı	Diyarbakır eyâleti																																																													
KURUCAŞİLE						قوريجه شيله	Nahiye					Bartın	Zonguldak	Kaza	1957					Zonguldak	Kaza	1991					Bartın																																															
KURUCAVİRAN						قوريجه ويران	Nahiye	1865			Kırcaali	Edirne	Edirne vilâyeti	Nahiye	1913				Kırcaali	Bulgaristan																																																						
KURUÇAY	Hasanova					قوری چای	Nahiye	~1530			Merkez	Kemah	Rum eyâleti	Kaza					Dersim	Erzurum eyâleti	Kaza	1865				Erzincan	Erzurum vilâyeti	Nahiye	1938			İliç	Erzincan																																									
KURUPINAR						قوری پيکار	Nahiye	16. yy.			Maraş	Maraş	Zülkadriye eyâleti																																																													
KURZOLA						قورزوله	Ada		Adriyatik denizinde				Dalmaçya																																																													
KUS						قوص	Kaza					Kına	Mısır hidiviyeti																																																													
KUSAYR						قصير	Sancak	16. yy.					Habeş eyâleti	Kaza	1876				Kına	Mısır eyâleti	Sancak						Mısır eyâleti	Kaza	1896			Kına	Mısır																																									
KUSAYR						قصير	Nahiye	1517				Halep	Arap vilâyeti	Kaza	16. yy.				Halep	Halep eyâleti	Nahiye	1865			Antakya	Halep	Halep vilâyeti	Bölge		Nur dağında Kusayr yaylâsı.		Hassa	Hatay																																									
KUSAYR						قصير	Nahiye				Humus	Hama	Suriye vilâyeti																																																													
KUŞADASI	İne					قوش آطه سی	Nahiye	~1530			Ayasluğ	Aydın	Anadolu eyâleti	Kaza	~1573				Sığla	Kaptanpaşa eyâleti	Kaza	1867				İzmir	Aydın vilâyeti	Kaza	1954				Aydın																																									
KUŞÇUCERİDİ						قوشجی جريدی	Kaza		Lağvedilmiş, köylerinden “Evri” Narlı bucağında, Şarkaya ve Yamaçoba Gaziantep’e bağlıdır.			Maraş	Adana eyâleti																																																													
Kuşkayası	AKPINAR					قوش قياسی	Nahiye					Kangal	Sivas																																																													
KUŞSARAYI	İzolu	Bekirhüseyin				قوش سرايی	Nahiye					Baskil	Elâzığ																																																													
KUŞTAŞ	Üçtaş					قوش طاش	Nahiye		Zile'’nin İğdir bucağı bölgesinde		Zile	Sivas-Tokat	Rum eyâleti																																																													
KUŞTEMÜR						قوشتمور	Nahiye	~1530				Tarsus	Arap vilâyeti	Nahiye	1608				Tarsus	Adana eyâleti																																																						
KUTAYİS						قوتاييس	Sancak	17. yy.					Çıldır eyâleti	Eyâlet merkezi	~1804					Abhaz eyâleti	Eyâlet	1810				Kafkasya	Rusya																																															
KUTUDERESİ						قوطی دره سی	Nahiye		Lağvedilmiş. Kutuderesi stratejik önemi haiz bir bölgedir.		Nazımiye	Dersim	Mamûretülaziz vilâyeti																																																													
KUVEYT					1887-1913: Osmanlı ile İngiltere arasında çekişmeli bir bölge.	کويت	Kasaba						Portekiz yönetimi	Kasaba	1793					İngiliz yönetimi	Sancak	1829					Bağdad eyâleti	Sancak	1875				Basra vilâyeti	Kaza	1913			Basra	Basra vilâyeti	Şeyhlik	1914			İngiltere himayesi																														
KUVEYTA						قويطع	Kaza	1847				Trablusşam	Sayda eyâleti	Nahiye	1861				Küre	Cebel-i Lübnan sancağı																																																						
KUYUCAK	Ortakçı					قيوجق	Nahiye	~1530			Kestel	Aydın	Anadolu eyâleti	Nahiye	1811			Nazilli	Aydın	Aydın eyâleti	Kaza	1953					Aydın																																															
KUYUCAK						قيوجق	Kaza merkezi				Mihalıççık	Ankara	Ankara vilâyeti	Kaza merkezi	~1915				Mihalıççık	Eskişehir																																																						
KUYUCAK						قيوجق	Nahiye	1883			Hısnımansur	Malatya	Mamûretülaziz vilâyeti	Nahiye	1924				Adıyaman	Malatya	Nahiye	1954				Merkez	Adıyaman																																															
KUYUCAK						قيوجق	Nahiye	1865			Niksar	Tokat	Sivas vilâyeti	Köy				Merkez	Niksar	Tokat																																																						
KUZÂBÂD						قوز آباد	Nahiye		Merkez ilçenin batı b.lümünde idi.		Merkez	Harput	Harput eyâleti																																																													
KUZCA						قوزجه	Kaza merkezi	~1990				Çanakçı	Giresun																																																													
KUZCA	Gödene					قوزجه	Nahiye					Finike	Antalya	Köy				Altınyaka	Kumluca	Antalya																																																						
KUZEY ERZİNCAN						قوزای ارزنجان	Nahiye	1515			Erzincan	Kemah	Rum eyâleti																																																													
KUZEY KEMAH						قوزای کماخ	Nahiye	1515			Merkez	Kemah	Rum eyâleti																																																													
KUZKIŞLA						قوز قشله	Nahiye	1865			Kuruçay	Erzincan	Erzurum vilâyeti	Köy				Kuruçay	İliç	Erzincan																																																						
Kuzucan	PÜLÜMÜR					قوزيجان	Nahiye	1520			Merkez	Kiğı	Diyarbakır eyâleti	Sancak	1534					Erzurum eyâleti	Kaza	1830				Dersim	Harput eyâleti	Kaza	1865			Erzincan	Erzurum vilâyeti	Kaza	1924				Erzincan	Kaza	1936			Tunceli																														
KUZUCUBELEN						قوزيجی بيلان	Nahiye					Merkez	İçel																																																													
Kuzugüdenli	AKKIŞLA					قوزی کودنلی	Nahiye	1865			Aziziye	Sivas	Sivas vilâyeti	Nahiye					Bünyan	Sivas vilâyeti	Nahiye	1911				Bünyan	Kayseri	Kaza	~1990				Kayseri																																									
KUZYAKA	Kürdeşe					قوز يقا	Nahiye	1865			Merkez	Kastamonu	Kastamonu vilâyeti	Nahiye	1924				Merkez	Kastamonu																																																						
KÜÇÜKARDAHAN	Ardahan-ı Kuçek					کوچک آردهان	Sancak	16. yy.					Kars eyâleti	Sancak	1830					Çıldır eyâleti																																																						
KÜÇÜKBAHÇE	Denizgiren					کوچک بغجه	Nahiye					Karaburun	İzmir																																																													
KÜÇÜKÇEKMECE						کوچک چکمجه	Sancak	1846					Edirne eyâleti	Kaza					Nevâhi-i Erbaa	Edirne eyâleti	Kaza	1878					Şehremâneti	Kaza	1909				İstanbul																																									
